order_line_id,order_id,product_id,line_number,quantity,unit_price
089c6c36-93c6-53a9-8706-933d441360f5,3260afb6-9d30-5ed8-ac48-eaafe48fcf93,67c6a5c9-cc46-54ff-a3a6-2afff248a85a,1,9,18.6
380c6ea5-b829-5e68-8c7e-8003b697a2de,3260afb6-9d30-5ed8-ac48-eaafe48fcf93,96ec8920-d84c-52bb-b160-c221542c328c,2,40,42.4
096be5c0-44f6-5f03-8fad-e7fb2707b035,df14a8c4-222c-5f77-bf37-253c22b360d0,e764185b-59af-5167-8b35-edc718b5809d,1,6,16.8
ffc41a20-4627-5403-9db1-5ffc2654dfc7,df14a8c4-222c-5f77-bf37-253c22b360d0,391da33a-badf-59b4-a4ae-ba3a0daedcd6,2,15,15.6
c6a4c8c6-d45a-5716-8c88-51e36943e22f,df14a8c4-222c-5f77-bf37-253c22b360d0,59f49985-6fdc-5a56-ae98-3c7c46f3f136,3,20,16.8
accafae7-94ee-5ff2-8894-9c07404e5dec,17781bb0-d333-5945-a928-e4ef318af7e9,4f9d181d-fb2f-5304-9a13-6958a4a42bdd,1,10,8.0
4df98c22-c930-5987-94d5-f89621e1f6cd,17781bb0-d333-5945-a928-e4ef318af7e9,5acdd96b-bbb1-55a0-aa41-195e9c87b5af,2,1,20.8
95f1c464-17f7-522a-9436-51b6a223e1e8,c21dce32-8d4b-529e-9d31-e22b308074b0,bd5fc993-42cd-58f9-b852-e569e082028a,1,16,7.7
e062bba0-9b9d-5ba1-82f2-2e425936411d,c21dce32-8d4b-529e-9d31-e22b308074b0,391da33a-badf-59b4-a4ae-ba3a0daedcd6,2,50,15.6
d62c026d-1990-5d41-b747-45a207557b0e,c21dce32-8d4b-529e-9d31-e22b308074b0,7f30543e-559f-50aa-be0b-3bcc826b04f8,4,21,12.0
bd17558a-997c-5858-a062-78d76ef49944,b291f74a-c695-5817-b23a-ccf102a2ceeb,4f9d181d-fb2f-5304-9a13-6958a4a42bdd,1,20,8.0
91d0f75e-b0cc-548a-baee-6c08995b20fb,b291f74a-c695-5817-b23a-ccf102a2ceeb,2cafce71-dc0c-567f-b7b4-79b659529637,2,20,14.4
3186a395-e80d-5023-9a4d-ae87fc3d1f34,58462c52-e4d7-5cfc-a60c-d6b3a8b6485a,eb65395a-c1fa-57a0-b095-5c7cb232a47e,1,12,17.0
51294db6-9c23-505f-a35a-49292552f378,58462c52-e4d7-5cfc-a60c-d6b3a8b6485a,9b42fe95-2f4f-59ea-a5fd-d4895d68d4b5,2,15,24.0
e51c9670-9d56-5415-8a76-1bcf50f66576,58462c52-e4d7-5cfc-a60c-d6b3a8b6485a,5caa3aa1-9661-5b17-b338-5316c8a113b9,3,2,30.4
0cf71500-c25b-5734-8989-2eb7b57a98cc,f88095aa-3937-5fd7-a372-75c593f8bc04,0604748b-f016-593d-955b-6333f1eb7ad4,1,35,15.2
45b642a8-6102-5a88-9a14-eae1c88a6d6e,f88095aa-3937-5fd7-a372-75c593f8bc04,bd5fc993-42cd-58f9-b852-e569e082028a,2,25,7.7
5158d0e4-6a28-5398-a8c1-716ae8349cee,38894f07-9353-5345-91ae-fafbfd3243bb,7f30543e-559f-50aa-be0b-3bcc826b04f8,2,20,12.0
c4a0308e-396d-53b3-96e2-a67f3f62644c,5f3b2f37-224f-5893-8515-5338c9e91109,9074d87d-f227-56ed-80a3-d0679d716537,1,60,2.0
8be83199-d001-5365-b295-1f782538ef23,5f3b2f37-224f-5893-8515-5338c9e91109,88668a2f-42b4-5dfa-b4cf-4aa7bd082866,2,20,27.8
a1ffd638-eb5d-5421-b958-f7c320eacb82,c9b4a1f5-c0f6-5975-80cc-8d13d4fb6dad,3f3dd993-51de-536a-8d65-f71d41b7f16e,1,24,24.8
