2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Ensuring database 'crm_db' exists …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → database already exists.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Executing 02_create_tables.sql …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → OK.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Truncating staging tables …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → staging tables truncated.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Loading etl_batch.csv → stg_etl_batch …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → 2 rows loaded into stg_etl_batch.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Loading contacts.csv → stg_contact …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → 1586 rows loaded into stg_contact.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Loading customers.csv → stg_customer …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → 1539 rows loaded into stg_customer.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Loading products.csv → stg_product …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → 757 rows loaded into stg_product.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Loading sales_orders.csv → stg_sales_order …
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 |   → 2630 rows loaded into stg_sales_order.
2026-06-29 17:12:52 | INFO     | etl.db.20260629_171252 | Loading order_lines.csv → stg_order_line …
2026-06-29 17:12:53 | INFO     | etl.db.20260629_171252 |   → 3257 rows loaded into stg_order_line.
2026-06-29 17:12:53 | INFO     | etl.db.20260629_171252 | Running staging → gold upsert …
2026-06-29 17:12:53 | INFO     | etl.db.20260629_171252 | Executing 04_load_procedures.sql …
2026-06-29 17:12:53 | INFO     | etl.db.20260629_171252 |   → OK.
2026-06-29 17:12:53 | INFO     | etl.db.20260629_171252 |   → upsert complete.
