customer_id,contact_id,customer_since,status,segment,created_at,updated_at,etl_batch_id,source_system,source_record_id
d77245a7-c6a9-47cd-902a-a78895e6f9db,6e9ec253-3747-47f2-be70-972c729901ae,1997-04-02,Active,B2B,2026-05-20 19:35:54,,108b37a8-c0f9-4c3f-86a8-a349f4842569,northwind,nw_cust_CONSH
a80b148b-d823-4bb3-addc-1c499c448802,63309809-6946-41f4-8bfa-d4a727eeb479,2026-04-29,Active,B2C,2026-05-20 19:35:54,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_157
15fc4696-26e1-4242-9ec4-076a2630bb49,6e18e043-641c-4450-a6c3-c9bc20807d08,2025-08-06,inactive,corporate,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU358
e6f4031b-1ba5-44d1-a751-7a51d182b31e,d98f5219-e535-4085-90fa-a77695995cf7,2023-03-25,active,corporate,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU1026
25ea5679-dd81-42bc-8230-7638725004b8,4d6406d1-8a3c-4422-95c0-31b541fe64da,2025-05-11,inactive,corporate,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU870
0912c4e1-5b43-4de5-94c8-da794d8122a6,55df7225-617e-421a-8b3c-b81ce8afda96,2021-06-29,inactive,corporate,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU2475
230beeb4-cc21-47d9-a099-95ee3100ad61,65eaccd5-f021-42c8-950e-cb7c08a24e2b,2026-04-29,inactive,corporate,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU669
68e7ea4c-663b-4978-877a-4512e791f3cf,4b8dcee8-15eb-4967-af51-10af3b2244f5,2025-06-07,active,retail  ,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU178
6457051d-f363-41cc-85fe-5ac09f5ba06d,eada7325-af72-4ffd-b2a0-f80bdd6e8dde,2026-04-29,Active,B2C,2026-05-20 19:35:54,,108b37a8-c0f9-4c3f-86a8-a349f4842569,dummyjson,dj_user_148
831d9403-886e-48ea-a7eb-6fd7c28a60c4,f0b1869a-6ec7-4b1d-9f3a-e9dc5496e950,2024-07-12,inactive,,2026-05-20 19:35:56,,76a67116-4c03-4f8f-8a3a-6637dcecb207,itc_crm,CU2663
