product_id,sku,product_name,category,brand,list_price,is_active,attributes_json,created_at,updated_at,etl_batch_id,source_system,source_record_id
80de062e-7abc-5404-b22b-a254ed650ae3,NW-1,Chai,NorthwindCategory,Northwind,18.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_1
0604748b-f016-593d-955b-6333f1eb7ad4,NW-2,Chang,NorthwindCategory,Northwind,19.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_2
026864bf-6ed1-5b24-a9fd-2f6e1d5c56e6,NW-3,Aniseed Syrup,NorthwindCategory,Northwind,10.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_3
7726dd5f-7bdd-502b-9c17-c0fe9e1a96ac,NW-4,Chef Anton's Cajun Seasoning,NorthwindCategory,Northwidn,22.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_4
eb65395a-c1fa-57a0-b095-5c7cb232a47e,NW-5,Chef Anton's Gumbo iMx,NorthwindCategory,Northwind,21.35,0,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_5
a21e124c-d5e2-5bbd-a753-a1a87b734a75,NW-6,Grandma's Boysenberry Spread,NorthwindCategory,Northwind,25.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_6
9b42fe95-2f4f-59ea-a5fd-d4895d68d4b5,NW-7,Uncle Bob's Organic Dried Pears,NorthwindCategory,Northwind,30.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_7
a6ed4ead-9606-51d2-976b-8e62c86d870b,NW-8,Northwoods Cranberry Sauce,NorthwindCategory,Northwind,40.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_8
bad9b5ca-fa76-592b-83f1-f16080222e98,NW-9,Mish iKobe Niku,NorthwindCategory,Northwind,97.0,0,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_9
3f3dd993-51de-536a-8d65-f71d41b7f16e,NW-10,Ikura,NorthwindCategory,Northwind,31.0,1,,2026-05-20 19:12:58,,aba96e8e-1650-4ee4-b217-cf94a4f8fc90,northwind,nw_prod_10
